gender,name
M,Logan Lerman
M,Dave Franco
M,Tom Hiddleston
M,Peter Dinklage
M,Taylor Kitsch
M,Alex Pettyfer
M,Guy Pearce
M,Mark Ruffalo
M,Mickey Rourke
M,Frank Langella
M,Eddie Redmayne
M,David Strathairn
M,Terrence Howard
M,Don Cheadle
M,Tom Wilkinson
M,Richard Farnsworth
M,Nick Nolte
F,AnnaSophia Robb
F,Gemma Arterton
F,Olivia Wilde
F,Isla Fisher
F,Shailene Woodley
F,Rebel Wilson
F,Emma Roberts
F,Amber Heard
F,Teresa Palmer
F,Saoirse Ronan
F,Elizabeth Banks
F,Ida Lupino
F,Natalie Dormer
F,Brittany Snow
F,Kate Mara
F,Julianne Hough
F,Lily Collins
F,Cobie Smulders
F,Alice Eve
F,Jamie Chung
F,Noomi Rapace
F,Blake Lively
F,Maggie Grace
F,Jessica Biel
F,Eva Green
M,Peter Fonda
M,Woody Harrelson
M,Billy Bob Thornton
M,Idris Elba
M,Nigel Hawthorne
M,Laurence Fishburne
M,Stephen Rea
M,Warren Beatty
M,Gérard Depardieu
M,Richard Harris
M,Kenneth Branagh
M,Edward James Olmos
M,Max von Sydow
M,Marcello Mastroianni
M,Bob Hoskins
M,James Woods
M,John Hawkes
M,James Garner
M,Sam Waterston
M,Tom Hulce
M,Albert Finney
M,Tom Conti
M,Tom Courtenay
M,Dudley Moore
M,John Hurt
F,Kat Dennings
F,Priyanka Chopra
F,Emmanuelle Riva
?,Greta Gerwig
F,Brie Larson
F,Jessica Lucas
F,Liv Ullmann
F,Maria Falconetti
F,Setsuko Hara
F,Rosalind Russell
F,Linda Fiorentino
F,Gabourey Sidibe
F,Catherine Deneuve
F,Mia Farrow
F,Audrey Tautou
F,Jeanne Moreau
F,Isabelle Huppert
F,Gena Rowlands
F,Lesley Manville
F,Elizabeth Olsen
F,Nastassja Kinski
F,Mélanie Laurent
?,Whitney Houston
F,Felicity Huffman
F,Imelda Staunton
M,Oscar Isaac
M,Jon Heder
M,Miles Teller
M,Daniel Brühl
M,James Gandolfini
M,Michael B. Jordan
M,Anthony Perkins
M,David Thewlis
M,Klaus Kinski
M,Malcolm McDowell
M,Ray Winstone
M,Jean-Paul Belmondo
M,Andy Serkis
M,Matthew Broderick
M,Dennis Hopper
M,Michael Rooker
M,Vincent Gallo
M,Toshirô Mifune
M,Vincent Cassel
M,J.K. Simmons
M,Boris Karloff
M,Peter Lorre
M,Antonio Banderas
M,Paddy Considine
M,Ryan Phillippe
F,Kerry Washington
F,Carrie-Anne Moss
F,Janet Leigh
F,Catalina Sandino Moreno
F,Samantha Morton
F,Keisha Castle-Hughes
F,Salma Hayek
F,Joan Allen
F,Janet McTeer
F,Fernanda Montenegro
F,Kristin Scott Thomas
F,Brenda Blethyn
F,Elisabeth Shue
F,Miranda Richardson
F,Stockard Channing
F,Angela Bassett
F,Mary McDonnell
